RP9=0.10, γ=0.20, ΔI=1.07e-09, V_end=7.87e-02, N_m=2070, Zon=OSCILLERANDE
RP9=0.20, γ=0.20, ΔI=4.04e-10, V_end=4.49e-02, N_m=1924, Zon=OSCILLERANDE
RP9=0.30, γ=0.20, ΔI=1.96e-10, V_end=2.12e-02, N_m=1834, Zon=OSCILLERANDE
RP9=0.40, γ=0.20, ΔI=1.21e-10, V_end=1.11e-02, N_m=1731, Zon=OSCILLERANDE
RP9=0.50, γ=0.20, ΔI=8.47e-11, V_end=7.70e-03, N_m=1633, Zon=OSCILLERANDE
RP9=0.60, γ=0.20, ΔI=6.84e-11, V_end=7.09e-03, N_m=1490, Zon=OSCILLERANDE
RP9=0.70, γ=0.20, ΔI=5.88e-11, V_end=6.89e-03, N_m=1470, Zon=OSCILLERANDE
RP9=0.80, γ=0.20, ΔI=4.12e-11, V_end=6.67e-03, N_m=1444, Zon=OSCILLERANDE
RP9=0.90, γ=0.20, ΔI=3.54e-11, V_end=6.41e-03, N_m=1415, Zon=OSCILLERANDE
RP9=0.10, γ=0.30, ΔI=1.42e-09, V_end=1.30e-02, N_m=1965, Zon=OSCILLERANDE
RP9=0.20, γ=0.30, ΔI=5.16e-10, V_end=4.48e-02, N_m=1940, Zon=OSCILLERANDE
RP9=0.30, γ=0.30, ΔI=3.62e-10, V_end=3.39e-02, N_m=1886, Zon=OSCILLERANDE
RP9=0.40, γ=0.30, ΔI=1.95e-10, V_end=2.36e-02, N_m=1765, Zon=OSCILLERANDE
RP9=0.50, γ=0.30, ΔI=1.25e-10, V_end=1.75e-02, N_m=1642, Zon=OSCILLERANDE
RP9=0.60, γ=0.30, ΔI=9.94e-11, V_end=1.39e-02, N_m=1624, Zon=OSCILLERANDE
RP9=0.70, γ=0.30, ΔI=8.56e-11, V_end=1.18e-02, N_m=1606, Zon=OSCILLERANDE
RP9=0.80, γ=0.30, ΔI=6.98e-11, V_end=1.01e-02, N_m=1586, Zon=OSCILLERANDE
RP9=0.90, γ=0.30, ΔI=5.34e-11, V_end=8.81e-03, N_m=1561, Zon=OSCILLERANDE
RP9=0.10, γ=0.40, ΔI=1.80e-09, V_end=6.47e-03, N_m=2003, Zon=OSCILLERANDE
RP9=0.20, γ=0.40, ΔI=7.72e-10, V_end=3.37e-02, N_m=1986, Zon=OSCILLERANDE
RP9=0.30, γ=0.40, ΔI=3.70e-10, V_end=2.97e-02, N_m=1951, Zon=OSCILLERANDE
RP9=0.40, γ=0.40, ΔI=2.82e-10, V_end=2.28e-02, N_m=1798, Zon=OSCILLERANDE
RP9=0.50, γ=0.40, ΔI=1.92e-10, V_end=1.77e-02, N_m=1777, Zon=OSCILLERANDE
RP9=0.60, γ=0.40, ΔI=1.30e-10, V_end=1.41e-02, N_m=1764, Zon=OSCILLERANDE
RP9=0.70, γ=0.40, ΔI=9.94e-11, V_end=1.16e-02, N_m=1750, Zon=OSCILLERANDE
RP9=0.80, γ=0.40, ΔI=7.88e-11, V_end=9.66e-03, N_m=1732, Zon=OSCILLERANDE
RP9=0.90, γ=0.40, ΔI=5.89e-11, V_end=8.16e-03, N_m=1717, Zon=OSCILLERANDE
RP9=0.10, γ=0.50, ΔI=2.07e-09, V_end=7.14e-03, N_m=2078, Zon=OSCILLERANDE
RP9=0.20, γ=0.50, ΔI=8.15e-10, V_end=2.65e-02, N_m=2061, Zon=OSCILLERANDE
RP9=0.30, γ=0.50, ΔI=4.36e-10, V_end=2.39e-02, N_m=2025, Zon=OSCILLERANDE
RP9=0.40, γ=0.50, ΔI=3.51e-10, V_end=1.90e-02, N_m=1890, Zon=OSCILLERANDE
RP9=0.50, γ=0.50, ΔI=2.05e-10, V_end=1.50e-02, N_m=1878, Zon=OSCILLERANDE
RP9=0.60, γ=0.50, ΔI=1.70e-10, V_end=1.20e-02, N_m=1870, Zon=OSCILLERANDE
RP9=0.70, γ=0.50, ΔI=1.17e-10, V_end=9.81e-03, N_m=1853, Zon=OSCILLERANDE
RP9=0.80, γ=0.50, ΔI=9.07e-11, V_end=8.10e-03, N_m=1837, Zon=OSCILLERANDE
RP9=0.90, γ=0.50, ΔI=7.74e-11, V_end=6.76e-03, N_m=1827, Zon=OSCILLERANDE
RP9=0.10, γ=0.60, ΔI=2.25e-09, V_end=1.03e-02, N_m=2150, Zon=OSCILLERANDE
RP9=0.20, γ=0.60, ΔI=8.45e-10, V_end=2.14e-02, N_m=2112, Zon=OSCILLERANDE
RP9=0.30, γ=0.60, ΔI=5.44e-10, V_end=1.88e-02, N_m=2066, Zon=OSCILLERANDE
RP9=0.40, γ=0.60, ΔI=2.99e-10, V_end=1.51e-02, N_m=1932, Zon=OSCILLERANDE
RP9=0.50, γ=0.60, ΔI=2.34e-10, V_end=1.20e-02, N_m=1930, Zon=OSCILLERANDE
RP9=0.60, γ=0.60, ΔI=1.60e-10, V_end=9.57e-03, N_m=1921, Zon=OSCILLERANDE
RP9=0.70, γ=0.60, ΔI=1.42e-10, V_end=7.75e-03, N_m=1910, Zon=OSCILLERANDE
RP9=0.80, γ=0.60, ΔI=1.05e-10, V_end=6.35e-03, N_m=1900, Zon=OSCILLERANDE
RP9=0.90, γ=0.60, ΔI=8.94e-11, V_end=5.26e-03, N_m=1890, Zon=OSCILLERANDE
RP9=0.10, γ=0.70, ΔI=2.13e-09, V_end=1.33e-02, N_m=2181, Zon=OSCILLERANDE
RP9=0.20, γ=0.70, ΔI=1.11e-09, V_end=1.73e-02, N_m=2129, Zon=OSCILLERANDE
RP9=0.30, γ=0.70, ΔI=5.76e-10, V_end=1.47e-02, N_m=2078, Zon=OSCILLERANDE
RP9=0.40, γ=0.70, ΔI=3.69e-10, V_end=1.17e-02, N_m=1955, Zon=OSCILLERANDE
RP9=0.50, γ=0.70, ΔI=2.48e-10, V_end=9.22e-03, N_m=1947, Zon=OSCILLERANDE
RP9=0.60, γ=0.70, ΔI=1.90e-10, V_end=7.34e-03, N_m=1937, Zon=OSCILLERANDE
RP9=0.70, γ=0.70, ΔI=1.46e-10, V_end=5.91e-03, N_m=1930, Zon=OSCILLERANDE
RP9=0.80, γ=0.70, ΔI=1.24e-10, V_end=4.81e-03, N_m=1920, Zon=OSCILLERANDE
RP9=0.90, γ=0.70, ΔI=9.87e-11, V_end=3.96e-03, N_m=1914, Zon=OSCILLERANDE
RP9=0.10, γ=0.80, ΔI=2.49e-09, V_end=1.40e-02, N_m=2180, Zon=OSCILLERANDE
RP9=0.20, γ=0.80, ΔI=1.20e-09, V_end=1.40e-02, N_m=2125, Zon=OSCILLERANDE
RP9=0.30, γ=0.80, ΔI=6.47e-10, V_end=1.14e-02, N_m=2076, Zon=OSCILLERANDE
RP9=0.40, γ=0.80, ΔI=4.08e-10, V_end=8.92e-03, N_m=2008, Zon=OSCILLERANDE
RP9=0.50, γ=0.80, ΔI=2.79e-10, V_end=6.99e-03, N_m=1948, Zon=OSCILLERANDE
RP9=0.60, γ=0.80, ΔI=2.21e-10, V_end=5.52e-03, N_m=1938, Zon=OSCILLERANDE
RP9=0.70, γ=0.80, ΔI=1.72e-10, V_end=4.41e-03, N_m=1933, Zon=OSCILLERANDE
RP9=0.80, γ=0.80, ΔI=1.42e-10, V_end=3.56e-03, N_m=1926, Zon=OSCILLERANDE
RP9=0.90, γ=0.80, ΔI=1.17e-10, V_end=2.91e-03, N_m=1917, Zon=OSCILLERANDE
RP9=0.10, γ=0.90, ΔI=2.86e-09, V_end=1.35e-02, N_m=2172, Zon=OSCILLERANDE
RP9=0.20, γ=0.90, ΔI=1.10e-09, V_end=1.13e-02, N_m=2116, Zon=OSCILLERANDE
RP9=0.30, γ=0.90, ΔI=6.94e-10, V_end=8.79e-03, N_m=2070, Zon=OSCILLERANDE
RP9=0.40, γ=0.90, ΔI=4.70e-10, V_end=6.77e-03, N_m=2019, Zon=OSCILLERANDE
RP9=0.50, γ=0.90, ΔI=3.25e-10, V_end=5.24e-03, N_m=1939, Zon=OSCILLERANDE
RP9=0.60, γ=0.90, ΔI=2.29e-10, V_end=4.10e-03, N_m=1935, Zon=OSCILLERANDE
RP9=0.70, γ=0.90, ΔI=2.10e-10, V_end=3.25e-03, N_m=1930, Zon=OSCILLERANDE
RP9=0.80, γ=0.90, ΔI=1.48e-10, V_end=2.61e-03, N_m=1922, Zon=OSCILLERANDE
RP9=0.90, γ=0.90, ΔI=1.15e-10, V_end=2.12e-03, N_m=1919, Zon=OSCILLERANDE
RP9=0.10, γ=1.00, ΔI=2.96e-09, V_end=1.22e-02, N_m=2159, Zon=OSCILLERANDE
